# City centres used to snap a user's location to their city. Columns: name, lat, lng, population.
# Source: GeoNames cities15000 (https://www.geonames.org), licensed CC BY 4.0.
# Rows with feature code PPLX (a section of a populated place, i.e. suburbs) are removed.
Dundo	-7.3664	20.8156	177604
Chitato	-7.3000	20.7333	246880
Cassanguidi	-7.4837	21.3034	20000
Lumbala	-14.1016	21.4353	19000
Luau	-10.7073	22.2247	55432
Cazombo	-11.8991	22.9022	34000
Nzagi	-8.3855	15.3013	60000
Viana	-8.9055	13.3750	865863
Uíge	-7.6087	15.0613	322531
Úcua	-8.6516	14.1565	41654
Tombôco	-6.8052	13.3302	20358
Soyo	-6.1349	12.3689	221555
Songo	-7.3521	14.8463	31382
Sanza Pombo	-7.3147	16.0024	23000
Piri	-8.5341	14.4355	26265
Pango Aluquém	-8.7131	14.4629	16080
N'zeto	-7.2280	12.8696	28840
Negage	-7.7594	15.2722	92950
N'dalatando	-9.2978	14.9116	161584
Muxaluando	-8.1231	14.2884	21052
Mussende	-10.5143	16.0199	33558
Mbanza Kongo	-6.2667	14.2383	148000
Maquela do Zombo	-6.0572	15.1097	42000
Malanje	-9.5402	16.3410	455000
Maianga	-8.8469	13.2370	727681
Mabubas	-8.5243	13.6862	16981
Lucala	-9.2727	15.2521	19422
Lubalo	-9.1545	19.2814	26103
Luanda	-8.8368	13.2343	2776168
Kunda dya Baze	-8.9077	17.0534	15965
Benfica	-8.9443	13.1643	191828
Gombe	-8.1244	14.2908	19209
Golungo Alto	-9.1333	14.7667	19992
Dondo	-9.6846	14.4279	64643
Dondo	-9.0500	15.3167	64643
Cuímba	-6.1208	14.6209	41878
Cuilo	-8.2362	19.5257	26577
Cuango-Luzamba	-9.1458	18.0445	55000
Cazombo	-8.7320	15.3712	34000
Caxito	-8.5785	13.6642	55000
Cangandala	-9.7833	16.4333	52220
Canacassala	-8.1626	14.1166	20913
Camabatela	-8.1881	15.3750	21767
Calumbo	-9.1469	13.4194	652270
Cage Mazumbo	-8.2997	14.3449	16093
Cacuso	-9.4210	15.7467	39302
Cacuaco	-8.7798	13.3748	146867
Cabinda	-5.5620	12.1948	550000
Bula Atumba	-8.6742	14.7970	30537
Buco Zau	-4.7667	12.5500	40953
Belize	-4.6500	12.7667	24430
Barra do Dande	-8.4718	13.3701	75000
Bailundo	-9.5750	15.9944	70481
Gama	-8.5675	13.4764	66202
Cazenga	-8.8380	13.2840	394170
Golfe	-8.8664	13.2617	655796
Camama	-8.9361	13.2652	667094
Talatona	-8.9178	13.1856	500000
Xangongo	-16.7444	14.9749	35000
Alto Hama	-12.2333	15.5500	36661
Virei	-15.7270	12.9496	42607
Ucuma	-12.9612	15.0596	21809
Ucu Seles	-11.4124	14.3066	47421
Tômbua	-15.8039	11.8448	46573
Sumbe	-11.2060	13.8437	205832
Quipungo	-14.8191	14.5350	23014
Quibala	-10.7337	14.9800	27128
Porto Amboim	-10.7325	13.7684	91605
Ondjiva	-17.0667	15.7333	121537
Nharêa	-11.4751	16.9650	18000
Mossamedes	-15.1961	12.1522	255000
Mungo	-11.8327	16.2361	21662
Menongue	-14.6585	17.6910	251178
Matala	-14.7327	15.0348	78000
Luquembo	-10.7391	17.7177	69420
Luena	-11.7833	19.9167	273675
Lubango	-14.9172	13.4925	600751
Longonjo	-12.9079	15.2485	92103
